l_pre_spe,dpt,rec_mon,dep_mon,taux
01-TOTAL Omnipraticiens,17,646930.8500000031,31156.43999999999,0.048160386848145886
01-TOTAL Omnipraticiens,18,423465.4600000023,19812.12999999997,0.04678570478924034
01-TOTAL Omnipraticiens,19,486691.2000000014,16189.30000000002,0.03326400806096345
01-TOTAL Omnipraticiens,21,605300.3500000024,35581.26999999996,0.0587828340095951
01-TOTAL Omnipraticiens,22,647586.9900000014,28142.519999999982,0.04345751294355052
01-TOTAL Omnipraticiens,23,323709.3899999999,9232.940000000015,0.028522311323746333
01-TOTAL Omnipraticiens,24,569303.020000002,19694.079999999998,0.03459331728119048
01-TOTAL Omnipraticiens,25,644656.4900000008,21950.24000000002,0.034049513718538676
01-TOTAL Omnipraticiens,26,642800.3000000018,32662.079999999998,0.05081217292524585
01-TOTAL Omnipraticiens,27,562770.9100000025,45523.12000000004,0.08089103255177109
01-TOTAL Omnipraticiens,28,553561.6100000034,32407.460000000017,0.058543546760765834
01-TOTAL Omnipraticiens,29,825742.1899999987,38351.58999999998,0.04644499271618911
01-TOTAL Omnipraticiens,2A,522201.410000001,12230.079999999996,0.02342023549878958
01-TOTAL Omnipraticiens,2B,606447.2300000024,13142.99999999999,0.021672124712318233
01-TOTAL Omnipraticiens,30,898405.1900000048,45404.30000000004,0.050538777497489515
01-TOTAL Omnipraticiens,31,1075006.5900000038,41910.63999999997,0.03898640286474878
01-TOTAL Omnipraticiens,32,413600.8100000017,12049.250000000011,0.029132559000549254
01-TOTAL Omnipraticiens,33,1099690.0999999999,61325.71,0.05576635635803215
01-TOTAL Omnipraticiens,34,1046288.7100000045,45099.360000000015,0.04310412562895744
01-TOTAL Omnipraticiens,35,816168.9800000035,43077.05999999996,0.0527795849335021
01-TOTAL Omnipraticiens,36,385007.1800000003,15327.120000000006,0.039809958868819
01-TOTAL Omnipraticiens,37,705604.3700000015,40753.27000000004,0.057756544223216695
01-TOTAL Omnipraticiens,38,982597.2700000007,64820.71999999992,0.06596875645705781
01-TOTAL Omnipraticiens,39,433145.9300000018,18065.81000000001,0.041708368355209836
01-TOTAL Omnipraticiens,40,512327.2600000016,16064.21000000001,0.03135536844164794
01-TOTAL Omnipraticiens,41,450112.27000000095,26944.429999999982,0.05986157631294949
01-TOTAL Omnipraticiens,42,776836.8599999999,37681.87999999999,0.04850681261442717
01-TOTAL Omnipraticiens,43,448848.64000000106,18742.489999999983,0.04175681583885369
01-TOTAL Omnipraticiens,44,863510.8900000055,56088.0,0.06495343677715476
01-TOTAL Omnipraticiens,45,618540.3600000056,40791.880000000034,0.06594861489717448
01-TOTAL Omnipraticiens,46,404142.9600000012,10124.40000000002,0.02505153127002383
01-TOTAL Omnipraticiens,47,525780.1100000021,13859.330000000009,0.02635955551837051
01-TOTAL Omnipraticiens,48,343224.32000000024,3728.5400000000036,0.010863274490572233
01-TOTAL Omnipraticiens,49,662885.4500000058,32194.080000000027,0.04856658114912576
01-TOTAL Omnipraticiens,50,557634.3400000011,23317.649999999972,0.041815304990004604
01-TOTAL Omnipraticiens,51,618100.1300000023,35357.089999999975,0.05720285158328609
01-TOTAL Omnipraticiens,52,356867.4399999998,14394.860000000008,0.040336714383357626
01-TOTAL Omnipraticiens,53,418250.44000000093,15019.650000000003,0.03591066156439661
01-TOTAL Omnipraticiens,54,774532.6999999998,33384.539999999986,0.04310281541373268
01-TOTAL Omnipraticiens,55,417873.87000000157,13083.060000000003,0.03130863387078966
01-TOTAL Omnipraticiens,56,725308.2600000019,33277.86,0.045880988588217535
01-TOTAL Omnipraticiens,57,985362.8999999996,54253.09000000002,0.055058994001093445
01-TOTAL Omnipraticiens,58,434315.96000000136,13325.580000000016,0.03068176449237549
01-TOTAL Omnipraticiens,59,3327884.96999996,154265.79999999958,0.04635550849583645
01-TOTAL Omnipraticiens,60,701254.9100000014,50494.619999999995,0.07200608406435242
01-TOTAL Omnipraticiens,61,403009.05000000016,16264.10000000001,0.04035666196577968
01-TOTAL Omnipraticiens,62,1797646.3300000036,61696.52999999996,0.03432072759272946
01-TOTAL Omnipraticiens,63,670895.250000001,39074.88,0.05824289261252027
01-TOTAL Omnipraticiens,64,1081629.8200000057,48654.399999999994,0.044982487631489064
01-TOTAL Omnipraticiens,65,503241.03000000294,11798.530000000019,0.02344508753588703
01-TOTAL Omnipraticiens,66,766474.6200000019,26606.379999999972,0.034712669285774794
01-TOTAL Omnipraticiens,67,1031589.8999999997,74297.16000000002,0.07202199246037601
01-TOTAL Omnipraticiens,68,777040.9300000009,48328.33000000001,0.06219534664666886
